started_at,resolved_at,market_id,side,duration_ms,tau_at_start_sec
2026-07-30T07:02:58.535Z,2026-07-30T07:03:05.352Z,btc5m1785394907013,yes,6817,228.5
2026-07-30T07:02:58.535Z,2026-07-30T07:03:05.352Z,btc5m1785394907013,no,6817,228.5
2026-07-30T07:03:10.158Z,2026-07-30T07:03:10.570Z,btc5m1785394907013,yes,412,216.9
2026-07-30T07:03:10.158Z,2026-07-30T07:03:10.570Z,btc5m1785394907013,no,412,216.9
2026-07-30T07:03:10.158Z,2026-07-30T07:03:10.960Z,btc5m1785394904162,yes,802,214.0
2026-07-30T07:03:10.158Z,2026-07-30T07:03:10.960Z,btc5m1785394904162,no,802,214.0
2026-07-30T07:03:15.773Z,2026-07-30T07:03:16.976Z,btc5m1785394904162,yes,1203,208.4
2026-07-30T07:03:15.773Z,2026-07-30T07:03:16.976Z,btc5m1785394904162,no,1203,208.4
2026-07-30T07:03:15.773Z,2026-07-30T07:03:16.976Z,btc5m1785394907013,yes,1203,211.2
2026-07-30T07:03:15.773Z,2026-07-30T07:03:16.976Z,btc5m1785394907013,no,1203,211.2
2026-07-30T07:03:22.194Z,2026-07-30T07:03:25.401Z,btc5m1785394904162,yes,3207,202.0
2026-07-30T07:03:22.194Z,2026-07-30T07:03:25.401Z,btc5m1785394904162,no,3207,202.0
2026-07-30T07:03:22.194Z,2026-07-30T07:03:25.401Z,btc5m1785394907013,yes,3207,204.8
2026-07-30T07:03:22.194Z,2026-07-30T07:03:25.401Z,btc5m1785394907013,no,3207,204.8
2026-07-30T07:03:38.269Z,2026-07-30T07:03:44.690Z,btc5m1785394904162,yes,6421,185.9
2026-07-30T07:03:38.269Z,2026-07-30T07:03:44.690Z,btc5m1785394904162,no,6421,185.9
2026-07-30T07:03:38.269Z,2026-07-30T07:03:45.110Z,btc5m1785394907013,no,6841,188.7
2026-07-30T07:03:38.269Z,2026-07-30T07:03:45.577Z,btc5m1785394907013,yes,7308,188.7
2026-07-30T07:03:50.759Z,2026-07-30T07:03:57.998Z,btc5m1785394904162,yes,7239,173.4
2026-07-30T07:03:50.759Z,2026-07-30T07:03:57.998Z,btc5m1785394904162,no,7239,173.4
2026-07-30T07:03:50.759Z,2026-07-30T07:03:57.998Z,btc5m1785394907013,yes,7239,176.3
2026-07-30T07:03:50.759Z,2026-07-30T07:03:57.998Z,btc5m1785394907013,no,7239,176.3
2026-07-30T07:04:01.616Z,2026-07-30T07:04:02.817Z,btc5m1785394904162,yes,1201,162.5
2026-07-30T07:04:01.616Z,2026-07-30T07:04:02.817Z,btc5m1785394904162,no,1201,162.5
2026-07-30T07:04:01.616Z,2026-07-30T07:04:02.817Z,btc5m1785394907013,yes,1201,165.4
2026-07-30T07:04:01.616Z,2026-07-30T07:04:02.817Z,btc5m1785394907013,no,1201,165.4
2026-07-30T07:04:03.623Z,2026-07-30T07:04:04.026Z,btc5m1785394904162,yes,403,160.5
2026-07-30T07:04:03.623Z,2026-07-30T07:04:04.026Z,btc5m1785394904162,no,403,160.5
2026-07-30T07:04:03.623Z,2026-07-30T07:04:04.425Z,btc5m1785394907013,yes,802,163.4
2026-07-30T07:04:03.623Z,2026-07-30T07:04:04.425Z,btc5m1785394907013,no,802,163.4
2026-07-30T07:04:06.829Z,2026-07-30T07:04:09.642Z,btc5m1785394904162,yes,2813,157.3
